MLS ID,Sale Price,Close Date,Address,Zip Code,Total Sq. Ft.,Lot Size,Latitude,Longitude,High School,High School Rank,Middle School,Middle School Rank,Elementary School,Elementary School Rank
9083242,340000.0,2021-03-25,419 S Willow ST,80863,1600.0,21780.0,38.8374464,-104.80463890000001,Career Readiness Academy,NaN,Sky View Middle School,2,Edison Elementary School,NaN
6094341,340000.0,2021-03-19,4477 Berryknoll DR,80916,1392.0,6430.0,38.7855717,-104.7437765,Vista Ridge High School,NaN,Jenkins Middle School,4,Soaring Eagles Elementary School,NaN
3513064,340000.0,2021-03-18,4580 Allison DR,80916,1060.0,7070.0,38.7885524,-104.7445513,Mesa Ridge High School,NaN,Janitell Junior High School,1,Wildflower Elementary School,NaN
1288137,340000.0,2021-03-15,1065 N 19th ST,80904,1296.0,5600.0,38.8547651,-104.8494979,Welte Education Center,NaN,Cheyenne Mountain Junior High School,3,Evans International Elementary School,NaN
4824665,340000.0,2021-03-22,3609 W Montebello DR,80918,2273.0,8305.0,38.9062837,-104.7604574,Career Readiness Academy,NaN,Falcon Middle School,2,Odyssey Elementary School,NaN
8902598,340300.0,2021-03-23,1842 Rose Quartz HT,80908,1415.0,1364.0,38.986865,-104.7924931,Patriot High School,NaN,North Middle School,5,Coperni 2,NaN
9112504,340500.0,2021-03-11,7275 Alpenwood WY,80918,1231.0,5171.0,38.9351998,-104.75662879999999,Achieve Online,NaN,Chinook Trail Middle School,3,NaN,NaN
9851481,340870.0,2021-03-08,10919 Zealand DR,80925,1569.0,3825.0,38.7409967,-104.6263687,Palmer High School,NaN,NaN,3,Otero Elementary School,NaN
4804079,341000.0,2021-03-22,800 Maple DR,80911,1131.0,8870.0,38.759979,-104.7400159,Central High School,NaN,Mountain Ridge Middle School,NaN,Grand Mountain School,NaN
6937634,341700.0,2021-03-05,7382 Maybeck VW,80831,1999.0,3195.0,38.9383272,-104.6059777,Vista Ridge High School,NaN,Falcon Middle School,3,NaN,NaN
4741047,342000.0,2021-03-25,511 Welsh CR,80916,1806.0,7062.0,38.8240623,-104.7451991,Palmer High School,NaN,Falcon Middle School,1,Globe Charter School,NaN
7657582,342000.0,2021-03-15,6125 Joshua CT,80922,2040.0,6381.0,38.9040043,-104.7072286,Atlas Preparatory High School,NaN,Falcon Middle School,3,Henry Elementary School,NaN
4385363,343000.0,2021-03-26,4716 Morning Mist DR,80916,1467.0,5448.0,38.7843403,-104.7409054,NaN,NaN,Eagleview Middle School,4,Buena Vista Elementary School,NaN
3778412,344500.0,2021-03-17,7064 Woodstock ST,80911,1824.0,7414.0,38.7222262,-104.69109920000001,NaN,NaN,Discovery Canyon Campus Middle School,3,Queen Palmer Elementary School,NaN
4130169,345000.0,2021-03-25,7225 Josh Byers WY,80817,2152.0,6195.0,38.7077043,-104.6935624,NaN,NaN,Yuma Middle School,3,NaN,NaN
6505073,345000.0,2021-03-16,4823 Villa CR,80918,2046.0,7425.0,38.9037625,-104.7651521,NaN,NaN,Discovery Canyon Campus Middle School,2,NaN,NaN
4099382,345000.0,2021-03-03,1520 Maxwell ST,80906,1666.0,7000.0,38.7636281,-104.7691176,NaN,NaN,Challenger Middle School,NaN,NaN,NaN
7401183,345000.0,2021-03-24,910 Square Dance LN,80817,2016.0,5586.0,38.6649114,-104.6759777,NaN,NaN,Falcon Middle School,2,NaN,NaN
9632810,346000.0,2021-03-26,2577 E Nichols CR,80122,1386.0,915.0,39.57163,-104.959171,NaN,NaN,The Classical Academy Middle School,5,NaN,NaN
2964551,347000.0,2021-03-15,8 Circle C RD,80817,1652.0,21781.0,38.678822,-104.6721968,NaN,NaN,Lewis-Palmer Middle School,2,NaN,NaN
6604648,347500.0,2021-03-16,4745 Endicott DR,80916,1658.0,10712.0,38.80178739999999,-104.74054079999999,NaN,NaN,Mesa Middle School,1,NaN,NaN
3826296,348000.0,2021-03-16,8437 Dassel DR,80817,2141.0,5150.0,38.7090611,-104.7004875,NaN,NaN,Mann Middle School,3,NaN,NaN
8315848,348500.0,2021-03-08,2230 Cather CR,80916,1872.0,9500.0,38.7999385,-104.7524358,NaN,NaN,Cresthill Middle School,1,NaN,NaN
7720547,348770.0,2021-03-16,2223 Stratford LN,80909,2694.0,9600.0,38.864952,-104.7482884,NaN,NaN,Skyview Middle School,1,NaN,NaN
9793520,350000.0,2021-03-26,7135 Gold Pan CT,80911,1786.0,9148.0,38.7284955,-104.6988473,NaN,NaN,Eagleview Middle School,3,NaN,NaN
9310308,350000.0,2021-03-24,1754 MacKenzie RD,81001,2954.0,15638.04,38.2957389,-104.5857625,NaN,NaN,Chinook Trail Middle School,2,NaN,NaN
8326800,350000.0,2021-03-19,1215 N Gantts Fort AV,81007,1762.0,44431.0,38.3789251,-104.7053665,NaN,NaN,NaN,1,NaN,2
7760537,350000.0,2021-03-16,107 S Claremont ST,80910,1800.0,6805.0,38.8303908,-104.76746750000001,NaN,NaN,Carson Middle School,1,NaN,0
8142852,350000.0,2021-03-18,7100 Boreal DR,80915,1418.0,5000.0,38.844504,-104.6946696,NaN,NaN,NaN,3,NaN,2
