MLS ID,Sale Price,Close Date,Address,Zip Code,Total Sq Ft,Lot Size,Latitude,Longitude,High School,High School Rank,Middle School,Middle School Rank,Elementary School,Elementary School Rank,dollar/sqft,Walk Score
4998880,303000.0,2021-01-08,2665 Helton CT,80916,1340.0,8187.0,38.7928864,-104.7382166,Sierra High School,4.0,Janitell Junior High School,4.0,Carver Elementary School,4.0,226.11940298507463,23
5606952,305000.0,2021-01-06,2011 Wold AV,80909,1862.0,8820.0,38.8616828,-104.7528915,Launch High School,1.0,West Middle School,1.0,High Plains Elementary School,2.0,163.80236305048336,51
1399673,305000.0,2021-01-04,2165 Ambleside DR,80915,1064.0,11310.0,38.8642667,-104.7029023,Welte Education Center,2.0,Watson Junior High School,3.0,Rockrimmon Elementary School,2.0,286.65413533834584,42
9831107,305000.0,2021-01-06,424 Lost Lake DR,80814,1906.0,43995.6,38.9520079,-105.2264172,James Irwin Charter High School,,Watson Junior High School,,Stratton Meadows Elementary School,2.0,160.02098635886674,0
4912968,308351.0,2021-01-05,5356 Necker HT,80922,1812.0,2396.0,38.9108313,-104.6843288,Mitchell High School,3.0,Panorama Middle School,3.0,Mountain Song Community School,,170.17163355408388,5
3814741,308500.0,2021-01-05,11250 Florence ST #9A,80640,1639.0,120.0,39.9011336,-104.8707272,Power Technical Early College,2.0,Russell Middle School,1.0,Otero Elementary School,2.0,188.22452715070165,6
1846499,310000.0,2021-01-05,1015 N Murray BL,80915,1856.0,7700.0,38.847959,-104.7477415,,1.0,Fountain Middle School,1.0,Martin Luther King Junior Elementary School,0.0,167.02586206896552,48
3762537,310000.0,2021-01-08,6458 Ferndale DR,80923,1014.0,6050.0,38.9245195,-104.7022872,Vista Ridge High School,3.0,James Irwin Charter Middle School,3.0,Midland Elementary School,4.0,305.71992110453647,12
3140531,310000.0,2021-01-06,2710 W Bijou ST,80904,867.0,5549.0,38.851503,-104.863821,Prairie View High School,3.0,Sabin Middle School,3.0,Talbott Steam Innovation School,2.0,357.5547866205306,69
2157488,311000.0,2021-01-05,2706 N Chestnut ST,80907,1346.0,3080.0,38.8703727,-104.8363187,Mitchell High School,3.0,Horizon Middle School,3.0,Venetucci Elementary School,4.0,231.05497771173847,34
9485099,314000.0,2021-01-04,1495 Prado DR,80817,1642.0,6670.0,38.7309812,-104.7281911,Vista Ridge High School,2.0,,2.0,Bricker Elementary School,2.0,191.23020706455543,38
6489326,315000.0,2021-01-06,4851 Castledown RD,80917,2037.0,2322.0,38.8862791,-104.7357357,Coronado High School,2.0,Skyview Middle School,1.0,Grant Elementary School,1.0,154.63917525773195,40
3874367,315000.0,2021-01-06,4903 Palmer Park BL,80915,1375.0,13500.0,38.8540628,-104.7371001,Coronado High School,1.0,Prairie View Middle School,1.0,Aragon Elementary School,1.0,229.0909090909091,29
2201798,315000.0,2021-01-06,312 Cobblestone DR,80906,2206.0,825.0,38.7755829,-104.8191095,Mesa Ridge High School,2.0,Jack Swigert Aerospace Academy,2.0,Soaring Eagles Elementary School,3.0,142.792384406165,60
6441046,320000.0,2021-01-06,1003 Gilfin CR,80915,1583.0,15200.0,38.84715660000001,-104.7328392,Doherty High School,1.0,Skyview Middle School,1.0,Madison Elementary School,1.0,202.14782059380923,39
5502027,325000.0,2021-01-07,6855 Cedar Edge DR,80911,1230.0,7287.0,38.732506,-104.6844054,Mitchell High School,,West Middle School,3.0,Evans International Elementary School,,264.2276422764228,7
